Interview_ID,Candidate_ID,Requisition_ID,Stage_Name,Interviewer_ID,Interviewer_Role,Scheduled_Date,Feedback_Submitted_Date,Turnaround_Hours,SLA_Met,BARS_Score_1,BARS_Score_2,BARS_Score_3,BARS_Score_4,Mean_BARS_Score,Notes_Summary
INT-2026-1654,CAND-2026-3039,REQ-2026-PNC-G2,Structured Interview A,APD-INT-034,Hiring Manager,2026-02-04,2026-02-06,39.0,Yes,3.9,3.5,3.5,3.7,3.65,Behavioral evidence mapped to published BARS anchors
INT-2026-1655,CAND-2026-3039,REQ-2026-PNC-G2,Structured Interview B,APD-INT-035,Cross-functional Panelist,2026-02-06,2026-02-07,13.0,Yes,3.9,3.5,3.5,3.7,3.65,Independent follow-up evidence locked before panel release
INT-2026-1656,CAND-2026-3039,REQ-2026-PNC-G2,Calibration Review,APD-INT-036,Talent Acquisition Partner,2026-02-08,2026-02-09,24.0,Yes,3.9,3.5,3.5,3.7,3.65,Composite and decision evidence reviewed in calibration
INT-2026-1657,CAND-2026-3040,REQ-2026-PNC-G2,Work Sample Review,APD-INT-037,Technical Assessor,2026-02-09,2026-02-11,35.0,Yes,3.2,4.0,3.2,3.9,3.58,Work sample evidence recorded against the controlled scoring key
INT-2026-1658,CAND-2026-3040,REQ-2026-PNC-G2,Structured Interview A,APD-INT-038,Hiring Manager,2026-02-11,2026-02-13,46.0,Yes,3.2,4.0,3.2,3.9,3.58,Behavioral evidence mapped to published BARS anchors
INT-2026-1659,CAND-2026-3040,REQ-2026-PNC-G2,Structured Interview B,APD-INT-039,Cross-functional Panelist,2026-02-13,2026-02-14,20.0,Yes,3.2,4.0,3.2,3.9,3.58,Independent follow-up evidence locked before panel release
INT-2026-1660,CAND-2026-3040,REQ-2026-PNC-G2,Calibration Review,APD-INT-040,Talent Acquisition Partner,2026-02-15,2026-02-17,31.0,Yes,3.2,4.0,3.2,3.9,3.58,Composite and decision evidence reviewed in calibration
INT-2026-1661,CAND-2026-3041,REQ-2026-PNC-G2,Work Sample Review,APD-INT-041,Technical Assessor,2026-02-03,2026-02-05,42.0,Yes,3.5,3.4,3.9,4.1,3.73,Work sample evidence recorded against the controlled scoring key
INT-2026-1662,CAND-2026-3041,REQ-2026-PNC-G2,Structured Interview A,APD-INT-042,Hiring Manager,2026-02-05,2026-02-06,16.0,Yes,3.5,3.4,3.9,4.1,3.73,Behavioral evidence mapped to published BARS anchors
INT-2026-1663,CAND-2026-3041,REQ-2026-PNC-G2,Structured Interview B,APD-INT-043,Cross-functional Panelist,2026-02-07,2026-02-09,27.0,Yes,3.5,3.4,3.9,4.1,3.73,Independent follow-up evidence locked before panel release
INT-2026-1664,CAND-2026-3041,REQ-2026-PNC-G2,Calibration Review,APD-INT-044,Talent Acquisition Partner,2026-02-09,2026-02-11,38.0,Yes,3.5,3.4,3.9,4.1,3.73,Composite and decision evidence reviewed in calibration
INT-2026-1665,CAND-2026-3042,REQ-2026-PNC-G2,Work Sample Review,APD-INT-045,Technical Assessor,2026-02-10,2026-02-11,12.0,Yes,3.8,3.9,3.6,3.2,3.63,Work sample evidence recorded against the controlled scoring key
INT-2026-1666,CAND-2026-3042,REQ-2026-PNC-G2,Structured Interview A,APD-INT-046,Hiring Manager,2026-02-12,2026-02-13,23.0,Yes,3.8,3.9,3.6,3.2,3.63,Behavioral evidence mapped to published BARS anchors
INT-2026-1667,CAND-2026-3042,REQ-2026-PNC-G2,Structured Interview B,APD-INT-047,Cross-functional Panelist,2026-02-14,2026-02-16,34.0,Yes,3.8,3.9,3.6,3.2,3.63,Independent follow-up evidence locked before panel release
INT-2026-1668,CAND-2026-3042,REQ-2026-PNC-G2,Calibration Review,APD-INT-048,Talent Acquisition Partner,2026-02-16,2026-02-18,45.0,Yes,3.8,3.9,3.6,3.2,3.63,Composite and decision evidence reviewed in calibration
INT-2026-1669,CAND-2026-3043,REQ-2026-PNC-G2,Work Sample Review,APD-INT-049,Technical Assessor,2026-02-04,2026-02-05,19.0,Yes,4.1,3.3,3.3,3.4,3.53,Work sample evidence recorded against the controlled scoring key
INT-2026-1670,CAND-2026-3043,REQ-2026-PNC-G2,Structured Interview A,APD-INT-050,Hiring Manager,2026-02-06,2026-02-08,30.0,Yes,4.1,3.3,3.3,3.4,3.53,Behavioral evidence mapped to published BARS anchors
INT-2026-1671,CAND-2026-3043,REQ-2026-PNC-G2,Structured Interview B,APD-INT-051,Cross-functional Panelist,2026-02-08,2026-02-10,41.0,Yes,4.1,3.3,3.3,3.4,3.53,Independent follow-up evidence locked before panel release
INT-2026-1672,CAND-2026-3043,REQ-2026-PNC-G2,Calibration Review,APD-INT-052,Talent Acquisition Partner,2026-02-10,2026-02-11,15.0,Yes,4.1,3.3,3.3,3.4,3.53,Composite and decision evidence reviewed in calibration
INT-2026-1673,CAND-2026-3044,REQ-2026-PNC-G2,Work Sample Review,APD-INT-053,Technical Assessor,2026-02-11,2026-02-13,26.0,Yes,3.4,3.8,4.0,3.6,3.70,Work sample evidence recorded against the controlled scoring key
INT-2026-1674,CAND-2026-3044,REQ-2026-PNC-G2,Structured Interview A,APD-INT-054,Hiring Manager,2026-02-13,2026-02-15,37.0,Yes,3.4,3.8,4.0,3.6,3.70,Behavioral evidence mapped to published BARS anchors
INT-2026-1675,CAND-2026-3044,REQ-2026-PNC-G2,Structured Interview B,APD-INT-055,Cross-functional Panelist,2026-02-15,2026-02-17,48.0,Yes,3.4,3.8,4.0,3.6,3.70,Independent follow-up evidence locked before panel release
INT-2026-1676,CAND-2026-3044,REQ-2026-PNC-G2,Calibration Review,APD-INT-056,Talent Acquisition Partner,2026-02-17,2026-02-20,69.0,No,3.4,3.8,4.0,3.6,3.70,Composite and decision evidence reviewed in calibration
INT-2026-1677,CAND-2026-3045,REQ-2026-PNC-G2,Work Sample Review,APD-INT-057,Technical Assessor,2026-02-05,2026-02-08,52.0,No,3.7,3.2,3.7,3.8,3.60,Work sample evidence recorded against the controlled scoring key
INT-2026-1678,CAND-2026-3045,REQ-2026-PNC-G2,Structured Interview A,APD-INT-058,Hiring Manager,2026-02-07,2026-02-10,59.0,No,3.7,3.2,3.7,3.8,3.60,Behavioral evidence mapped to published BARS anchors
INT-2026-1679,CAND-2026-3045,REQ-2026-PNC-G2,Structured Interview B,APD-INT-059,Cross-functional Panelist,2026-02-09,2026-02-12,66.0,No,3.7,3.2,3.7,3.8,3.60,Independent follow-up evidence locked before panel release
INT-2026-1680,CAND-2026-3045,REQ-2026-PNC-G2,Calibration Review,APD-INT-060,Talent Acquisition Partner,2026-02-11,2026-02-14,49.0,No,3.7,3.2,3.7,3.8,3.60,Composite and decision evidence reviewed in calibration
INT-2026-1681,CAND-2026-3046,REQ-2026-PNC-G2,Work Sample Review,APD-INT-001,Technical Assessor,2026-02-12,2026-02-14,40.0,Yes,4.0,3.7,3.4,4.0,3.78,Work sample evidence recorded against the controlled scoring key
INT-2026-1682,CAND-2026-3046,REQ-2026-PNC-G2,Structured Interview A,APD-INT-002,Hiring Manager,2026-02-14,2026-02-15,14.0,Yes,4.0,3.7,3.4,4.0,3.78,Behavioral evidence mapped to published BARS anchors
INT-2026-1683,CAND-2026-3046,REQ-2026-PNC-G2,Structured Interview B,APD-INT-003,Cross-functional Panelist,2026-02-16,2026-02-18,25.0,Yes,4.0,3.7,3.4,4.0,3.78,Independent follow-up evidence locked before panel release
INT-2026-1684,CAND-2026-3046,REQ-2026-PNC-G2,Calibration Review,APD-INT-004,Talent Acquisition Partner,2026-02-18,2026-02-20,36.0,Yes,4.0,3.7,3.4,4.0,3.78,Composite and decision evidence reviewed in calibration
INT-2026-1685,CAND-2026-3047,REQ-2026-PNC-G2,Work Sample Review,APD-INT-005,Technical Assessor,2026-02-06,2026-02-08,47.0,Yes,3.3,3.1,4.1,3.1,3.40,Work sample evidence recorded against the controlled scoring key
INT-2026-1686,CAND-2026-3047,REQ-2026-PNC-G2,Structured Interview A,APD-INT-006,Hiring Manager,2026-02-08,2026-02-09,21.0,Yes,3.3,3.1,4.1,3.1,3.40,Behavioral evidence mapped to published BARS anchors
INT-2026-1687,CAND-2026-3047,REQ-2026-PNC-G2,Structured Interview B,APD-INT-007,Cross-functional Panelist,2026-02-10,2026-02-12,32.0,Yes,3.3,3.1,4.1,3.1,3.40,Independent follow-up evidence locked before panel release
INT-2026-1688,CAND-2026-3047,REQ-2026-PNC-G2,Calibration Review,APD-INT-008,Talent Acquisition Partner,2026-02-12,2026-02-14,43.0,Yes,3.3,3.1,4.1,3.1,3.40,Composite and decision evidence reviewed in calibration
INT-2026-1689,CAND-2026-3048,REQ-2026-PNC-G2,Work Sample Review,APD-INT-009,Technical Assessor,2026-02-13,2026-02-14,17.0,Yes,3.6,3.6,3.8,3.3,3.58,Work sample evidence recorded against the controlled scoring key
INT-2026-1690,CAND-2026-3048,REQ-2026-PNC-G2,Structured Interview A,APD-INT-010,Hiring Manager,2026-02-15,2026-02-17,28.0,Yes,3.6,3.6,3.8,3.3,3.58,Behavioral evidence mapped to published BARS anchors
INT-2026-1691,CAND-2026-3048,REQ-2026-PNC-G2,Structured Interview B,APD-INT-011,Cross-functional Panelist,2026-02-17,2026-02-19,39.0,Yes,3.6,3.6,3.8,3.3,3.58,Independent follow-up evidence locked before panel release
INT-2026-1692,CAND-2026-3048,REQ-2026-PNC-G2,Calibration Review,APD-INT-012,Talent Acquisition Partner,2026-02-19,2026-02-20,13.0,Yes,3.6,3.6,3.8,3.3,3.58,Composite and decision evidence reviewed in calibration
INT-2026-1693,CAND-2026-3049,REQ-2026-PNC-G2,Work Sample Review,APD-INT-013,Technical Assessor,2026-02-07,2026-02-08,24.0,Yes,3.9,4.1,3.5,3.5,3.75,Work sample evidence recorded against the controlled scoring key
INT-2026-1694,CAND-2026-3049,REQ-2026-PNC-G2,Structured Interview A,APD-INT-014,Hiring Manager,2026-02-09,2026-02-11,35.0,Yes,3.9,4.1,3.5,3.5,3.75,Behavioral evidence mapped to published BARS anchors
INT-2026-1695,CAND-2026-3049,REQ-2026-PNC-G2,Structured Interview B,APD-INT-015,Cross-functional Panelist,2026-02-11,2026-02-13,46.0,Yes,3.9,4.1,3.5,3.5,3.75,Independent follow-up evidence locked before panel release
INT-2026-1696,CAND-2026-3049,REQ-2026-PNC-G2,Calibration Review,APD-INT-016,Talent Acquisition Partner,2026-02-13,2026-02-14,20.0,Yes,3.9,4.1,3.5,3.5,3.75,Composite and decision evidence reviewed in calibration
INT-2026-1697,CAND-2026-3050,REQ-2026-PNC-G2,Work Sample Review,APD-INT-017,Technical Assessor,2026-02-14,2026-02-16,31.0,Yes,3.2,3.5,3.2,3.7,3.40,Work sample evidence recorded against the controlled scoring key
INT-2026-1698,CAND-2026-3050,REQ-2026-PNC-G2,Structured Interview A,APD-INT-018,Hiring Manager,2026-02-16,2026-02-18,42.0,Yes,3.2,3.5,3.2,3.7,3.40,Behavioral evidence mapped to published BARS anchors
INT-2026-1699,CAND-2026-3050,REQ-2026-PNC-G2,Structured Interview B,APD-INT-019,Cross-functional Panelist,2026-02-18,2026-02-19,16.0,Yes,3.2,3.5,3.2,3.7,3.40,Independent follow-up evidence locked before panel release
INT-2026-1700,CAND-2026-3050,REQ-2026-PNC-G2,Calibration Review,APD-INT-020,Talent Acquisition Partner,2026-02-20,2026-02-22,27.0,Yes,3.2,3.5,3.2,3.7,3.40,Composite and decision evidence reviewed in calibration
INT-2026-1701,CAND-2026-3401,REQ-2026-SCM-G2,Work Sample Review,APD-INT-021,Technical Assessor,2026-03-02,2026-03-04,38.0,Yes,4.5,4.6,4.7,4.8,4.65,Work sample evidence recorded against the controlled scoring key
INT-2026-1702,CAND-2026-3401,REQ-2026-SCM-G2,Structured Interview A,APD-INT-022,Hiring Manager,2026-03-04,2026-03-05,12.0,Yes,4.5,4.6,4.7,4.8,4.65,Behavioral evidence mapped to published BARS anchors
INT-2026-1703,CAND-2026-3401,REQ-2026-SCM-G2,Structured Interview B,APD-INT-023,Cross-functional Panelist,2026-03-06,2026-03-07,23.0,Yes,4.5,4.6,4.7,4.8,4.65,Independent follow-up evidence locked before panel release
INT-2026-1704,CAND-2026-3401,REQ-2026-SCM-G2,Calibration Review,APD-INT-024,Talent Acquisition Partner,2026-03-08,2026-03-10,34.0,Yes,4.5,4.6,4.7,4.8,4.65,Composite and decision evidence reviewed in calibration
INT-2026-1705,CAND-2026-3402,REQ-2026-SCM-G2,Work Sample Review,APD-INT-025,Technical Assessor,2026-02-24,2026-02-26,45.0,Yes,4.6,4.7,4.8,4.4,4.63,Work sample evidence recorded against the controlled scoring key
INT-2026-1706,CAND-2026-3402,REQ-2026-SCM-G2,Structured Interview A,APD-INT-026,Hiring Manager,2026-02-26,2026-02-27,19.0,Yes,4.6,4.7,4.8,4.4,4.63,Behavioral evidence mapped to published BARS anchors
INT-2026-1707,CAND-2026-3402,REQ-2026-SCM-G2,Structured Interview B,APD-INT-027,Cross-functional Panelist,2026-02-28,2026-03-02,30.0,Yes,4.6,4.7,4.8,4.4,4.63,Independent follow-up evidence locked before panel release
INT-2026-1708,CAND-2026-3402,REQ-2026-SCM-G2,Calibration Review,APD-INT-028,Talent Acquisition Partner,2026-03-02,2026-03-04,41.0,Yes,4.6,4.7,4.8,4.4,4.63,Composite and decision evidence reviewed in calibration
INT-2026-1709,CAND-2026-3403,REQ-2026-SCM-G2,Work Sample Review,APD-INT-029,Technical Assessor,2026-03-03,2026-03-04,15.0,Yes,4.7,4.8,4.4,4.5,4.60,Work sample evidence recorded against the controlled scoring key
INT-2026-1710,CAND-2026-3403,REQ-2026-SCM-G2,Structured Interview A,APD-INT-030,Hiring Manager,2026-03-05,2026-03-07,26.0,Yes,4.7,4.8,4.4,4.5,4.60,Behavioral evidence mapped to published BARS anchors
INT-2026-1711,CAND-2026-3403,REQ-2026-SCM-G2,Structured Interview B,APD-INT-031,Cross-functional Panelist,2026-03-07,2026-03-09,37.0,Yes,4.7,4.8,4.4,4.5,4.60,Independent follow-up evidence locked before panel release
INT-2026-1712,CAND-2026-3403,REQ-2026-SCM-G2,Calibration Review,APD-INT-032,Talent Acquisition Partner,2026-03-09,2026-03-11,48.0,Yes,4.7,4.8,4.4,4.5,4.60,Composite and decision evidence reviewed in calibration
INT-2026-1713,CAND-2026-3404,REQ-2026-SCM-G2,Work Sample Review,APD-INT-033,Technical Assessor,2026-02-25,2026-02-26,22.0,Yes,4.5,4.6,4.7,4.8,4.65,Work sample evidence recorded against the controlled scoring key
INT-2026-1714,CAND-2026-3404,REQ-2026-SCM-G2,Structured Interview A,APD-INT-034,Hiring Manager,2026-02-27,2026-03-01,33.0,Yes,4.5,4.6,4.7,4.8,4.65,Behavioral evidence mapped to published BARS anchors
INT-2026-1715,CAND-2026-3404,REQ-2026-SCM-G2,Structured Interview B,APD-INT-035,Cross-functional Panelist,2026-03-01,2026-03-03,44.0,Yes,4.5,4.6,4.7,4.8,4.65,Independent follow-up evidence locked before panel release
INT-2026-1716,CAND-2026-3404,REQ-2026-SCM-G2,Calibration Review,APD-INT-036,Talent Acquisition Partner,2026-03-03,2026-03-04,18.0,Yes,4.5,4.6,4.7,4.8,4.65,Composite and decision evidence reviewed in calibration
INT-2026-1717,CAND-2026-3405,REQ-2026-SCM-G2,Work Sample Review,APD-INT-037,Technical Assessor,2026-03-04,2026-03-06,29.0,Yes,4.6,4.7,4.8,4.4,4.63,Work sample evidence recorded against the controlled scoring key
INT-2026-1718,CAND-2026-3405,REQ-2026-SCM-G2,Structured Interview A,APD-INT-038,Hiring Manager,2026-03-06,2026-03-08,40.0,Yes,4.6,4.7,4.8,4.4,4.63,Behavioral evidence mapped to published BARS anchors
INT-2026-1719,CAND-2026-3405,REQ-2026-SCM-G2,Structured Interview B,APD-INT-039,Cross-functional Panelist,2026-03-08,2026-03-09,14.0,Yes,4.6,4.7,4.8,4.4,4.63,Independent follow-up evidence locked before panel release
INT-2026-1720,CAND-2026-3405,REQ-2026-SCM-G2,Calibration Review,APD-INT-040,Talent Acquisition Partner,2026-03-10,2026-03-12,25.0,Yes,4.6,4.7,4.8,4.4,4.63,Composite and decision evidence reviewed in calibration
INT-2026-1721,CAND-2026-3406,REQ-2026-SCM-G2,Work Sample Review,APD-INT-041,Technical Assessor,2026-02-26,2026-02-28,36.0,Yes,4.8,4.4,4.5,4.6,4.58,Work sample evidence recorded against the controlled scoring key
INT-2026-1722,CAND-2026-3406,REQ-2026-SCM-G2,Structured Interview A,APD-INT-042,Hiring Manager,2026-02-28,2026-03-02,47.0,Yes,4.8,4.4,4.5,4.6,4.58,Behavioral evidence mapped to published BARS anchors
INT-2026-1723,CAND-2026-3406,REQ-2026-SCM-G2,Structured Interview B,APD-INT-043,Cross-functional Panelist,2026-03-02,2026-03-03,21.0,Yes,4.8,4.4,4.5,4.6,4.58,Independent follow-up evidence locked before panel release
INT-2026-1724,CAND-2026-3406,REQ-2026-SCM-G2,Calibration Review,APD-INT-044,Talent Acquisition Partner,2026-03-04,2026-03-06,32.0,Yes,4.8,4.4,4.5,4.6,4.58,Composite and decision evidence reviewed in calibration
INT-2026-1725,CAND-2026-3407,REQ-2026-SCM-G2,Work Sample Review,APD-INT-045,Technical Assessor,2026-03-05,2026-03-07,43.0,Yes,4.4,4.5,4.6,4.7,4.55,Work sample evidence recorded against the controlled scoring key
INT-2026-1726,CAND-2026-3407,REQ-2026-SCM-G2,Structured Interview A,APD-INT-046,Hiring Manager,2026-03-07,2026-03-08,17.0,Yes,4.4,4.5,4.6,4.7,4.55,Behavioral evidence mapped to published BARS anchors
INT-2026-1727,CAND-2026-3407,REQ-2026-SCM-G2,Structured Interview B,APD-INT-047,Cross-functional Panelist,2026-03-09,2026-03-11,28.0,Yes,4.4,4.5,4.6,4.7,4.55,Independent follow-up evidence locked before panel release
INT-2026-1728,CAND-2026-3407,REQ-2026-SCM-G2,Calibration Review,APD-INT-048,Talent Acquisition Partner,2026-03-11,2026-03-13,39.0,Yes,4.4,4.5,4.6,4.7,4.55,Composite and decision evidence reviewed in calibration
INT-2026-1729,CAND-2026-3408,REQ-2026-SCM-G2,Work Sample Review,APD-INT-049,Technical Assessor,2026-02-27,2026-02-28,13.0,Yes,4.5,4.6,4.7,4.8,4.65,Work sample evidence recorded against the controlled scoring key
INT-2026-1730,CAND-2026-3408,REQ-2026-SCM-G2,Structured Interview A,APD-INT-050,Hiring Manager,2026-03-01,2026-03-04,63.0,No,4.5,4.6,4.7,4.8,4.65,Behavioral evidence mapped to published BARS anchors
INT-2026-1731,CAND-2026-3408,REQ-2026-SCM-G2,Structured Interview B,APD-INT-051,Cross-functional Panelist,2026-03-03,2026-03-06,70.0,No,4.5,4.6,4.7,4.8,4.65,Independent follow-up evidence locked before panel release
INT-2026-1732,CAND-2026-3408,REQ-2026-SCM-G2,Calibration Review,APD-INT-052,Talent Acquisition Partner,2026-03-05,2026-03-08,53.0,No,4.5,4.6,4.7,4.8,4.65,Composite and decision evidence reviewed in calibration
INT-2026-1733,CAND-2026-3409,REQ-2026-SCM-G2,Work Sample Review,APD-INT-053,Technical Assessor,2026-03-06,2026-03-09,60.0,No,4.7,4.8,4.4,4.5,4.60,Work sample evidence recorded against the controlled scoring key
INT-2026-1734,CAND-2026-3409,REQ-2026-SCM-G2,Structured Interview A,APD-INT-054,Hiring Manager,2026-03-08,2026-03-11,67.0,No,4.7,4.8,4.4,4.5,4.60,Behavioral evidence mapped to published BARS anchors
INT-2026-1735,CAND-2026-3409,REQ-2026-SCM-G2,Structured Interview B,APD-INT-055,Cross-functional Panelist,2026-03-10,2026-03-12,42.0,Yes,4.7,4.8,4.4,4.5,4.60,Independent follow-up evidence locked before panel release
INT-2026-1736,CAND-2026-3409,REQ-2026-SCM-G2,Calibration Review,APD-INT-056,Talent Acquisition Partner,2026-03-12,2026-03-13,16.0,Yes,4.7,4.8,4.4,4.5,4.60,Composite and decision evidence reviewed in calibration
INT-2026-1737,CAND-2026-3410,REQ-2026-SCM-G2,Work Sample Review,APD-INT-057,Technical Assessor,2026-02-28,2026-03-02,27.0,Yes,4.8,4.4,4.5,4.6,4.58,Work sample evidence recorded against the controlled scoring key
INT-2026-1738,CAND-2026-3410,REQ-2026-SCM-G2,Structured Interview A,APD-INT-058,Hiring Manager,2026-03-02,2026-03-04,38.0,Yes,4.8,4.4,4.5,4.6,4.58,Behavioral evidence mapped to published BARS anchors
INT-2026-1739,CAND-2026-3410,REQ-2026-SCM-G2,Structured Interview B,APD-INT-059,Cross-functional Panelist,2026-03-04,2026-03-05,12.0,Yes,4.8,4.4,4.5,4.6,4.58,Independent follow-up evidence locked before panel release
INT-2026-1740,CAND-2026-3410,REQ-2026-SCM-G2,Calibration Review,APD-INT-060,Talent Acquisition Partner,2026-03-06,2026-03-07,23.0,Yes,4.8,4.4,4.5,4.6,4.58,Composite and decision evidence reviewed in calibration
INT-2026-1741,CAND-2026-3411,REQ-2026-SCM-G2,Work Sample Review,APD-INT-001,Technical Assessor,2026-03-07,2026-03-09,34.0,Yes,4.6,4.7,4.8,4.4,4.63,Work sample evidence recorded against the controlled scoring key
INT-2026-1742,CAND-2026-3411,REQ-2026-SCM-G2,Structured Interview A,APD-INT-002,Hiring Manager,2026-03-09,2026-03-11,45.0,Yes,4.6,4.7,4.8,4.4,4.63,Behavioral evidence mapped to published BARS anchors
INT-2026-1743,CAND-2026-3411,REQ-2026-SCM-G2,Structured Interview B,APD-INT-003,Cross-functional Panelist,2026-03-11,2026-03-12,19.0,Yes,4.6,4.7,4.8,4.4,4.63,Independent follow-up evidence locked before panel release
INT-2026-1744,CAND-2026-3411,REQ-2026-SCM-G2,Calibration Review,APD-INT-004,Talent Acquisition Partner,2026-03-13,2026-03-15,30.0,Yes,4.6,4.7,4.8,4.4,4.63,Composite and decision evidence reviewed in calibration
INT-2026-1745,CAND-2026-3412,REQ-2026-SCM-G2,Work Sample Review,APD-INT-005,Technical Assessor,2026-03-01,2026-03-03,41.0,Yes,4.7,4.8,4.4,4.5,4.60,Work sample evidence recorded against the controlled scoring key
INT-2026-1746,CAND-2026-3412,REQ-2026-SCM-G2,Structured Interview A,APD-INT-006,Hiring Manager,2026-03-03,2026-03-04,15.0,Yes,4.7,4.8,4.4,4.5,4.60,Behavioral evidence mapped to published BARS anchors
INT-2026-1747,CAND-2026-3412,REQ-2026-SCM-G2,Structured Interview B,APD-INT-007,Cross-functional Panelist,2026-03-05,2026-03-07,26.0,Yes,4.7,4.8,4.4,4.5,4.60,Independent follow-up evidence locked before panel release
INT-2026-1748,CAND-2026-3412,REQ-2026-SCM-G2,Calibration Review,APD-INT-008,Talent Acquisition Partner,2026-03-07,2026-03-09,37.0,Yes,4.7,4.8,4.4,4.5,4.60,Composite and decision evidence reviewed in calibration
INT-2026-1749,CAND-2026-3413,REQ-2026-SCM-G2,Work Sample Review,APD-INT-009,Technical Assessor,2026-02-23,2026-02-25,48.0,Yes,4.8,4.4,4.5,4.6,4.58,Work sample evidence recorded against the controlled scoring key
INT-2026-1750,CAND-2026-3413,REQ-2026-SCM-G2,Structured Interview A,APD-INT-010,Hiring Manager,2026-02-25,2026-02-26,22.0,Yes,4.8,4.4,4.5,4.6,4.58,Behavioral evidence mapped to published BARS anchors
INT-2026-1751,CAND-2026-3413,REQ-2026-SCM-G2,Structured Interview B,APD-INT-011,Cross-functional Panelist,2026-02-27,2026-03-01,33.0,Yes,4.8,4.4,4.5,4.6,4.58,Independent follow-up evidence locked before panel release
INT-2026-1752,CAND-2026-3413,REQ-2026-SCM-G2,Calibration Review,APD-INT-012,Talent Acquisition Partner,2026-03-01,2026-03-03,44.0,Yes,4.8,4.4,4.5,4.6,4.58,Composite and decision evidence reviewed in calibration
INT-2026-1753,CAND-2026-3414,REQ-2026-SCM-G2,Work Sample Review,APD-INT-013,Technical Assessor,2026-03-02,2026-03-03,18.0,Yes,4.4,4.5,4.6,4.7,4.55,Work sample evidence recorded against the controlled scoring key
INT-2026-1754,CAND-2026-3414,REQ-2026-SCM-G2,Structured Interview A,APD-INT-014,Hiring Manager,2026-03-04,2026-03-06,29.0,Yes,4.4,4.5,4.6,4.7,4.55,Behavioral evidence mapped to published BARS anchors
INT-2026-1755,CAND-2026-3414,REQ-2026-SCM-G2,Structured Interview B,APD-INT-015,Cross-functional Panelist,2026-03-06,2026-03-08,40.0,Yes,4.4,4.5,4.6,4.7,4.55,Independent follow-up evidence locked before panel release
INT-2026-1756,CAND-2026-3414,REQ-2026-SCM-G2,Calibration Review,APD-INT-016,Talent Acquisition Partner,2026-03-08,2026-03-09,14.0,Yes,4.4,4.5,4.6,4.7,4.55,Composite and decision evidence reviewed in calibration
INT-2026-1757,CAND-2026-3415,REQ-2026-SCM-G2,Work Sample Review,APD-INT-017,Technical Assessor,2026-02-24,2026-02-26,25.0,Yes,4.5,4.6,4.7,4.8,4.65,Work sample evidence recorded against the controlled scoring key
INT-2026-1758,CAND-2026-3415,REQ-2026-SCM-G2,Structured Interview A,APD-INT-018,Hiring Manager,2026-02-26,2026-02-28,36.0,Yes,4.5,4.6,4.7,4.8,4.65,Behavioral evidence mapped to published BARS anchors
INT-2026-1759,CAND-2026-3415,REQ-2026-SCM-G2,Structured Interview B,APD-INT-019,Cross-functional Panelist,2026-02-28,2026-03-02,47.0,Yes,4.5,4.6,4.7,4.8,4.65,Independent follow-up evidence locked before panel release
INT-2026-1760,CAND-2026-3415,REQ-2026-SCM-G2,Calibration Review,APD-INT-020,Talent Acquisition Partner,2026-03-02,2026-03-03,21.0,Yes,4.5,4.6,4.7,4.8,4.65,Composite and decision evidence reviewed in calibration
INT-2026-1761,CAND-2026-3416,REQ-2026-SCM-G2,Work Sample Review,APD-INT-021,Technical Assessor,2026-03-03,2026-03-05,32.0,Yes,4.4,4.5,4.6,4.7,4.55,Work sample evidence recorded against the controlled scoring key
INT-2026-1762,CAND-2026-3416,REQ-2026-SCM-G2,Structured Interview A,APD-INT-022,Hiring Manager,2026-03-05,2026-03-07,43.0,Yes,4.4,4.5,4.6,4.7,4.55,Behavioral evidence mapped to published BARS anchors
INT-2026-1763,CAND-2026-3416,REQ-2026-SCM-G2,Structured Interview B,APD-INT-023,Cross-functional Panelist,2026-03-07,2026-03-08,17.0,Yes,4.4,4.5,4.6,4.7,4.55,Independent follow-up evidence locked before panel release
INT-2026-1764,CAND-2026-3416,REQ-2026-SCM-G2,Calibration Review,APD-INT-024,Talent Acquisition Partner,2026-03-09,2026-03-11,28.0,Yes,4.4,4.5,4.6,4.7,4.55,Composite and decision evidence reviewed in calibration
INT-2026-1765,CAND-2026-3417,REQ-2026-SCM-G2,Work Sample Review,APD-INT-025,Technical Assessor,2026-02-25,2026-02-27,39.0,Yes,4.5,4.6,4.7,4.8,4.65,Work sample evidence recorded against the controlled scoring key
INT-2026-1766,CAND-2026-3417,REQ-2026-SCM-G2,Structured Interview A,APD-INT-026,Hiring Manager,2026-02-27,2026-02-28,13.0,Yes,4.5,4.6,4.7,4.8,4.65,Behavioral evidence mapped to published BARS anchors
INT-2026-1767,CAND-2026-3417,REQ-2026-SCM-G2,Structured Interview B,APD-INT-027,Cross-functional Panelist,2026-03-01,2026-03-02,24.0,Yes,4.5,4.6,4.7,4.8,4.65,Independent follow-up evidence locked before panel release
INT-2026-1768,CAND-2026-3417,REQ-2026-SCM-G2,Calibration Review,APD-INT-028,Talent Acquisition Partner,2026-03-03,2026-03-05,35.0,Yes,4.5,4.6,4.7,4.8,4.65,Composite and decision evidence reviewed in calibration
INT-2026-1769,CAND-2026-3418,REQ-2026-SCM-G2,Work Sample Review,APD-INT-029,Technical Assessor,2026-03-04,2026-03-06,46.0,Yes,4.6,4.7,4.8,4.4,4.63,Work sample evidence recorded against the controlled scoring key
